"","PersonID","session","rt"
"1",101,1,2887.5
"2",101,2,2243.93333333333
"3",101,3,2363.72413793103
"4",101,4,2099.33333333333
"5",101,5,2475.8
"6",101,6,2220.66666666667
"7",102,1,2633.20689655172
"8",102,2,2389.42857142857
"9",102,3,2302.3
"10",102,4,1967.1
"11",102,5,2111.78571428571
"12",102,6,2248.10344827586
"13",105,1,2297.17857142857
"14",105,2,1989.66666666667
"15",105,3,1950.20689655172
"16",105,4,1550.03448275862
"17",105,5,1804.96551724138
"18",105,6,1810.57142857143
"19",106,1,1747.66666666667
"20",106,2,1424.8275862069
"21",106,3,1534.7
"22",106,4,1577.96666666667
"23",106,5,1323.23333333333
"24",106,6,1422.46666666667
"25",107,1,1637.07142857143
"26",107,2,1531.56666666667
"27",107,3,1640.06666666667
"28",107,4,1305.36666666667
"29",107,5,1516.2
"30",107,6,1473.86666666667
"31",108,1,2501.11538461538
"32",108,2,2329.53571428571
"33",108,3,2390.31034482759
"34",108,4,2365
"35",108,5,2363
"36",108,6,2287.39285714286
"37",109,1,1224.92592592593
"38",109,2,1329.16666666667
"39",109,3,1357.86956521739
"40",109,4,1443.85185185185
"41",109,5,1155.92
"42",109,6,1164.29166666667
"43",110,1,1772.75
"44",110,2,1857.96551724138
"45",110,3,1788.89655172414
"46",110,4,1458.89285714286
"47",110,5,1782.9
"48",110,6,1698.28571428571
"49",111,1,1259.07692307692
"50",111,2,1451.8275862069
"51",111,3,1277.7
"52",111,4,1155.9
"53",111,5,1248.10344827586
"54",111,6,1466.06666666667
"55",112,1,1973.10344827586
"56",112,2,1546.55172413793
"57",112,3,1391.23333333333
"58",112,4,1445.65517241379
"59",112,5,1452.93103448276
"60",112,6,1576.8275862069
"61",113,1,2004.56666666667
"62",113,2,1738.76666666667
"63",113,3,1665.03333333333
"64",113,4,1641.06666666667
"65",113,5,1680.2
"66",113,6,1620.23333333333
"67",116,1,1375.64285714286
"68",116,2,1371.64285714286
"69",116,3,1323.37931034483
"70",116,4,1340.57142857143
"71",116,5,1290.56666666667
"72",116,6,1153.89655172414
"73",117,1,2001.82142857143
"74",117,2,1861.92857142857
"75",117,3,1715.36666666667
"76",117,4,1776.20689655172
"77",117,5,1966.14285714286
"78",117,6,1746.44827586207
"79",118,1,1815.58620689655
"80",118,2,1788.2
"81",118,3,1650.89655172414
"82",118,4,1771.27586206897
"83",118,5,1684.96551724138
"84",118,6,1635.86206896552
"85",120,1,1203.10714285714
"86",120,2,1342.1724137931
"87",120,3,1351.06666666667
"88",120,4,1356.03333333333
"89",120,5,1365.86666666667
"90",120,6,1399.13333333333
"91",121,1,1882.1724137931
"92",121,2,1755.85714285714
"93",121,3,1977.1
"94",121,4,2137.60714285714
"95",121,5,2579
"96",121,6,1990.2
"97",124,1,2065
"98",124,2,2118.7
"99",124,3,2026.96551724138
"100",124,4,2218.33333333333
"101",124,5,1754.9
"102",124,6,1871.8275862069
"103",125,1,2246.1724137931
"104",125,2,2233.89285714286
"105",125,3,1857.5
"106",125,4,2045.5
"107",125,5,2063.1
"108",125,6,2007.5
"109",126,1,3462.43333333333
"110",126,2,1976.62068965517
"111",126,3,1996.78571428571
"112",126,4,2281.75
"113",126,5,2406.14285714286
"114",126,6,2584.07407407407
"115",127,1,2225.1
